18:03 | Done: 0/23 | Results: 0 | Errors: 0 | Disk: 68 GB
18:08 | Done: 1/23 | Results: 1 | Errors: 0 | Disk: 69 GB
18:13 | Done: 2/23 | Results: 2 | Errors: 0 | Disk: 70 GB
18:18 | Done: 3/23 | Results: 3 | Errors: 0 | Disk: 70 GB
18:23 | Done: 4/23 | Results: 4 | Errors: 0 | Disk: 71 GB
18:28 | Done: 4/23 | Results: 4 | Errors: 0 | Disk: 67 GB
18:33 | Done: 5/23 | Results: 5 | Errors: 0 | Disk: 68 GB
18:38 | Done: 6/23 | Results: 6 | Errors: 0 | Disk: 69 GB
18:43 | Done: 7/23 | Results: 7 | Errors: 0 | Disk: 70 GB
18:48 | Done: 8/23 | Results: 8 | Errors: 0 | Disk: 68 GB
18:53 | Done: 8/23 | Results: 8 | Errors: 0 | Disk: 67 GB
18:58 | Done: 8/23 | Results: 8 | Errors: 0 | Disk: 66 GB
19:03 | Done: 8/23 | Results: 8 | Errors: 0 | Disk: 64 GB
19:08 | Done: 8/23 | Results: 8 | Errors: 0 | Disk: 64 GB
19:13 | Done: 8/23 | Results: 8 | Errors: 0 | Disk: 62 GB
19:18 | Done: 9/23 | Results: 9 | Errors: 0 | Disk: 69 GB
19:23 | Done: 10/23 | Results: 10 | Errors: 0 | Disk: 70 GB
19:28 | Done: 11/23 | Results: 11 | Errors: 0 | Disk: 70 GB
19:33 | Done: 11/23 | Results: 11 | Errors: 0 | Disk: 67 GB
19:38 | Done: 12/23 | Results: 12 | Errors: 0 | Disk: 72 GB
19:43 | Done: 13/23 | Results: 13 | Errors: 0 | Disk: 73 GB
19:48 | Done: 14/23 | Results: 14 | Errors: 0 | Disk: 73 GB
19:53 | Done: 14/23 | Results: 14 | Errors: 0 | Disk: 70 GB
19:58 | Done: 15/23 | Results: 15 | Errors: 0 | Disk: 71 GB
20:03 | Done: 16/23 | Results: 16 | Errors: 0 | Disk: 73 GB
20:08 | Done: 17/23 | Results: 17 | Errors: 0 | Disk: 74 GB
20:13 | Done: 17/23 | Results: 17 | Errors: 0 | Disk: 70 GB
20:18 | Done: 18/23 | Results: 18 | Errors: 0 | Disk: 71 GB
20:23 | Done: 19/23 | Results: 19 | Errors: 0 | Disk: 72 GB
20:28 | Done: 20/23 | Results: 20 | Errors: 0 | Disk: 72 GB
20:33 | Done: 21/23 | Results: 21 | Errors: 0 | Disk: 73 GB
20:38 | Done: 21/23 | Results: 21 | Errors: 0 | Disk: 69 GB
20:43 | Done: 22/23 | Results: 22 | Errors: 0 | Disk: 70 GB
20:48 | Done: 23/23 | Results: 23 | Errors: 0 | Disk: 75 GB
ALL DONE!
